Scientific_Name,Common_Name,name,label,Indicator_Status
Andropogon ternarius,Split-Beard Bluestem,Andropogon ternarius,Andropogon ternarius - Split Beard Bluestem,FACU
Andropogon virginicus,Broom-Sedge,Andropogon virginicus,Andropogon virginicus - Broom Sedge,FACU
Androsace chamaejasme,Sweet-Flower Rock-Jasmine,Androsace chamaejasme,Androsace chamaejasme - Sweet Flower Rock Jasmine,FACU
Androsace occidentalis,Western Rock-Jasmine,Androsace occidentalis,Androsace occidentalis - Western Rock Jasmine,FACU
Androsace septentrionalis,Pygmy-Flower Rock-Jasmine,Androsace septentrionalis,Androsace septentrionalis - Pygmy Flower Rock Jasmine,FACU
Anemone canadensis,Round-Leaf Thimbleweed,Anemone canadensis,Anemone canadensis - Round Leaf Thimbleweed,FACW
Anemone narcissiflora,Narcissus-Flower Thimbleweed,Anemone narcissiflora,Anemone narcissiflora - Narcissus Flower Thimbleweed,FAC
Anemone parviflora,Small-Flower Thimbleweed,Anemone parviflora,Anemone parviflora - Small Flower Thimbleweed,FACU
Anemone quinquefolia,Nightcaps,Anemone quinquefolia,Anemone quinquefolia - Nightcaps,FAC
Anemone virginiana,Tall Thimbleweed,Anemone virginiana,Anemone virginiana - Tall Thimbleweed,FACU
Anemopsis californica,Yerba-Mansa,Anemopsis californica,Anemopsis californica - Yerba Mansa,FACW
Angelica ampla,Giant Angelica,Angelica ampla,Angelica ampla - Giant Angelica,FACW
Angelica pinnata,Small-Leaf Angelica,Angelica pinnata,Angelica pinnata - Small Leaf Angelica,FACW
Anoda cristata,Crested Anoda,Anoda cristata,Anoda cristata - Crested Anoda,FAC
Antennaria neglecta,Field Pussytoes,Antennaria neglecta,Antennaria neglecta - Field Pussytoes,FACU
Antennaria umbrinella,Brown-Bract Pussytoes,Antennaria umbrinella,Antennaria umbrinella - Brown Bract Pussytoes,FACU
Anthemis cotula,Stinking Chamomile,Anthemis cotula,Anthemis cotula - Stinking Chamomile,FACU
Anthenantia rufa,Purple Silkyscale,Anthenantia rufa,Anthenantia rufa - Purple Silkyscale,FACU
Anthoxanthum hirtum,Northern Sweet Vernal Grass,Anthoxanthum hirtum,Anthoxanthum hirtum - Northern Sweet Vernal Grass,FACW
Anthoxanthum odoratum,Large Sweet Vernal Grass,Anthoxanthum odoratum,Anthoxanthum odoratum - Large Sweet Vernal Grass,FAC
Anticlea elegans,Mountain False Deathcamas,Anticlea elegans,Anticlea elegans - Mountain False Deathcamas,FACW
Anticlea occidentalis,Western False Deathcamas,Anticlea occidentalis,Anticlea occidentalis - Western False Deathcamas,FACW
Anticlea virescens,Green False Deathcamas,Anticlea virescens,Anticlea virescens - Green False Deathcamas,FAC
Antigonon leptopus,Queen's-Jewels,Antigonon leptopus,Antigonon leptopus - Queen's Jewels,FAC
Apios americana,Groundnut,Apios americana,Apios americana - Groundnut,FAC
Aplectrum hyemale,Adam-and-Eve,Aplectrum hyemale,Aplectrum hyemale - Adam and Eve,FAC
