Scientific_Name,Common_Name,name,label,Indicator_Status
Amaranthus watsonii,Watson's Amaranth,Amaranthus watsonii,Amaranthus watsonii - Watson's Amaranth,FACW
Amblyopappus pusillus,Dwarf Coastweed,Amblyopappus pusillus,Amblyopappus pusillus - Dwarf Coastweed,FACW
Ambrosia artemisiifolia,Annual Ragweed,Ambrosia artemisiifolia,Ambrosia artemisiifolia - Annual Ragweed,FACU
Ambrosia monogyra,Needle-Leaf Burrobush,Ambrosia monogyra,Ambrosia monogyra - Needle-Leaf Burrobush,UPL
Ambrosia psilostachya,Perennial Ragweed,Ambrosia psilostachya,Ambrosia psilostachya - Perennial Ragweed,FACU
Ambrosia pumila,Dwarf Burr-Ragweed,Ambrosia pumila,Ambrosia pumila - Dwarf Burr-Ragweed,FACU
Ambrosia trifida,Great Ragweed,Ambrosia trifida,Ambrosia trifida - Great Ragweed,FAC
Amelanchier alnifolia,Saskatoon Service-Berry,Amelanchier alnifolia,Amelanchier alnifolia - Saskatoon Service-Berry,FACU
Amelanchier arborea,Downy Service-Berry,Amelanchier arborea,Amelanchier arborea - Downy Service-Berry,FACU
Amelanchier cusickii,Cusick's Service-Berry,Amelanchier cusickii,Amelanchier cusickii - Cusick's Service-Berry,FACU
Amelanchier utahensis,Utah Service-Berry,Amelanchier utahensis,Amelanchier utahensis - Utah Service-Berry,FACU
Ammannia auriculata,Eared Redstem,Ammannia auriculata,Ammannia auriculata - Eared Redstem,OBL
Ammannia coccinea,Valley Redstem,Ammannia coccinea,Ammannia coccinea - Valley Redstem,OBL
Ammannia robusta,Grand Redstem,Ammannia robusta,Ammannia robusta - Grand Redstem,OBL
Ammophila arenaria,European Beach Grass,Ammophila arenaria,Ammophila arenaria - European Beach Grass,FACU
Ammophila breviligulata,American Beach Grass,Ammophila breviligulata,Ammophila breviligulata - American Beach Grass,FACU
Amorpha californica,California Indigo-Bush,Amorpha californica,Amorpha californica - California Indigo-Bush,FAC
Amorpha fruticosa,False Indigo-Bush,Amorpha fruticosa,Amorpha fruticosa - False Indigo-Bush,FACW
Amorpha nana,Fragrant Indigo-Bush,Amorpha nana,Amorpha nana - Fragrant Indigo-Bush,FACU
Ampelopsis arborea,Peppervine,Ampelopsis arborea,Ampelopsis arborea - Peppervine,FAC
Ampelopsis cordata,Heart-Leaf Peppervine,Ampelopsis cordata,Ampelopsis cordata - Heart-Leaf Peppervine,FAC
Amphicarpaea bracteata,American Hog-Peanut,Amphicarpaea bracteata,Amphicarpaea bracteata - American Hog-Peanut,FACW
Amsinckia spectabilis,Woolly-Breeches,Amsinckia spectabilis,Amsinckia spectabilis - Woolly-Breeches,FACU
Anaphalis margaritacea,Pearly-Everlasting,Anaphalis margaritacea,Anaphalis margaritacea - Pearly-Everlasting,FACU
Andromeda polifolia,Bog-Rosemary,Andromeda polifolia,Andromeda polifolia - Bog-Rosemary,OBL
Andropogon gerardii,Big Bluestem,Andropogon gerardii,Andropogon gerardii - Big Bluestem,FACU
Andropogon glomeratus,Bushy Bluestem,Andropogon glomeratus,Andropogon glomeratus - Bushy Bluestem,FACW
Andropogon virginicus,Broom-Sedge,Andropogon virginicus,Andropogon virginicus - Broom-Sedge,FAC
Androsace chamaejasme,Sweet-Flower Rock-Jasmine,Androsace chamaejasme,Androsace chamaejasme - Sweet-Flower Rock-Jasmine,FACU
Androsace filiformis,Slender-Stem Rock-Jasmine,Androsace filiformis,Androsace filiformis - Slender-Stem Rock-Jasmine,FACW
Androsace occidentalis,Western Rock-Jasmine,Androsace occidentalis,Androsace occidentalis - Western Rock-Jasmine,FACU
Androsace septentrionalis,Pygmy-Flower Rock-Jasmine,Androsace septentrionalis,Androsace septentrionalis - Pygmy-Flower Rock-Jasmine,FACU
Anemone canadensis,Round-Leaf Thimbleweed,Anemone canadensis,Anemone canadensis - Round-Leaf Thimbleweed,FAC
Anemone narcissiflora,Narcissus-Flower Thimbleweed,Anemone narcissiflora,Anemone narcissiflora - Narcissus-Flower Thimbleweed,FAC
Anemone oregana,Blue Windflower,Anemone oregana,Anemone oregana - Blue Windflower,FACU
Anemone parviflora,Small-Flower Thimbleweed,Anemone parviflora,Anemone parviflora - Small-Flower Thimbleweed,FACW
Anemone piperi,Piper's Windflower,Anemone piperi,Anemone piperi - Piper's Windflower,FACU
Anemopsis californica,Yerba-Mansa,Anemopsis californica,Anemopsis californica - Yerba-Mansa,OBL
Angelica ampla,Giant Angelica,Angelica ampla,Angelica ampla - Giant Angelica,FACW
Angelica arguta,Lyall's Angelica,Angelica arguta,Angelica arguta - Lyall's Angelica,FACW
Angelica dawsonii,Dawson's Angelica,Angelica dawsonii,Angelica dawsonii - Dawson's Angelica,FACW
Angelica genuflexa,Kneeling Angelica,Angelica genuflexa,Angelica genuflexa - Kneeling Angelica,FACW
Angelica kingii,Basin Angelica,Angelica kingii,Angelica kingii - Basin Angelica,FACW
Angelica lucida,Seacoast Angelica,Angelica lucida,Angelica lucida - Seacoast Angelica,FAC
Angelica pinnata,Small-Leaf Angelica,Angelica pinnata,Angelica pinnata - Small-Leaf Angelica,FACW
Anoda cristata,Crested Anoda,Anoda cristata,Anoda cristata - Crested Anoda,FAC
Antennaria alpina,Alpine Pussytoes,Antennaria alpina,Antennaria alpina - Alpine Pussytoes,FACU
Antennaria arcuata,Meadow Pussytoes,Antennaria arcuata,Antennaria arcuata - Meadow Pussytoes,FACW
Antennaria corymbosa,Flat-Top Pussytoes,Antennaria corymbosa,Antennaria corymbosa - Flat-Top Pussytoes,FAC
Antennaria media,Rocky Mountain Pussytoes,Antennaria media,Antennaria media - Rocky Mountain Pussytoes,FAC
Antennaria neglecta,Field Pussytoes,Antennaria neglecta,Antennaria neglecta - Field Pussytoes,FACU
Antennaria pulchella,Sierran Pussytoes,Antennaria pulchella,Antennaria pulchella - Sierran Pussytoes,FAC
Antennaria pulcherrima,Showy Pussytoes,Antennaria pulcherrima,Antennaria pulcherrima - Showy Pussytoes,FACU
Antennaria umbrinella,Brown-Bract Pussytoes,Antennaria umbrinella,Antennaria umbrinella - Brown-Bract Pussytoes,FACU
Anthemis cotula,Stinking Chamomile,Anthemis cotula,Anthemis cotula - Stinking Chamomile,FACU
Anthoxanthum hirtum,Northern Sweet Vernal Grass,Anthoxanthum hirtum,Anthoxanthum hirtum - Northern Sweet Vernal Grass,FACW
Anthoxanthum odoratum,Large Sweet Vernal Grass,Anthoxanthum odoratum,Anthoxanthum odoratum - Large Sweet Vernal Grass,FAC
Anticlea elegans,Mountain False Deathcamas,Anticlea elegans,Anticlea elegans - Mountain False Deathcamas,FACU
Anticlea occidentalis,Western False Deathcamas,Anticlea occidentalis,Anticlea occidentalis - Western False Deathcamas,FACW
Anticlea vaginata,Sheathed False Deathcamas,Anticlea vaginata,Anticlea vaginata - Sheathed False Deathcamas,FAC
Anticlea virescens,Green False Deathcamas,Anticlea virescens,Anticlea virescens - Green False Deathcamas,FACU
Antigonon leptopus,Queen's-Jewels,Antigonon leptopus,Antigonon leptopus - Queen's-Jewels,FAC
Apiastrum angustifolium,Mock Parsley,Apiastrum angustifolium,Apiastrum angustifolium - Mock Parsley,UPL
Aplectrum hyemale,Adam-and-Eve,Aplectrum hyemale,Aplectrum hyemale - Adam-and-Eve,FAC
Apocynum androsaemifolium,Spreading Dogbane,Apocynum androsaemifolium,Apocynum androsaemifolium - Spreading Dogbane,UPL
Apocynum cannabinum,Indian-Hemp,Apocynum cannabinum,Apocynum cannabinum - Indian-Hemp,FAC
Aponogeton distachyos,Cape-Pondweed,Aponogeton distachyos,Aponogeton distachyos - Cape-Pondweed,OBL
Aquilegia caerulea,Colorado Blue Columbine,Aquilegia caerulea,Aquilegia caerulea - Colorado Blue Columbine,FACU
Aquilegia chrysantha,Golden Columbine,Aquilegia chrysantha,Aquilegia chrysantha - Golden Columbine,FAC
Aquilegia eximia,Van Houtte's Columbine,Aquilegia eximia,Aquilegia eximia - Van Houtte's Columbine,OBL
Aquilegia formosa,Crimson Columbine,Aquilegia formosa,Aquilegia formosa - Crimson Columbine,FAC
Aquilegia longissima,Long-Spur Columbine,Aquilegia longissima,Aquilegia longissima - Long-Spur Columbine,FACW
Arabidopsis lyrata,Lyre-Leaf Thalecress,Arabidopsis lyrata,Arabidopsis lyrata - Lyre-Leaf Thalecress,FACU
Arabis crucisetosa,Cross-Hair Eared Rockcress,Arabis crucisetosa,Arabis crucisetosa - Cross-Hair Eared Rockcress,FAC
Arabis eschscholtziana,Pacific-Coast Eared Rockcress,Arabis eschscholtziana,Arabis eschscholtziana - Pacific-Coast Eared Rockcress,FACU
Arabis pycnocarpa,Hairy Eared Rockcress,Arabis pycnocarpa,Arabis pycnocarpa - Hairy Eared Rockcress,FACU
Aralia californica,California Spikenard,Aralia californica,Aralia californica - California Spikenard,FACW
Aralia nudicaulis,Wild Sarsaparilla,Aralia nudicaulis,Aralia nudicaulis - Wild Sarsaparilla,FACU
Aralia racemosa,American Spikenard,Aralia racemosa,Aralia racemosa - American Spikenard,FAC
Arctium minus,Lesser Burrdock,Arctium minus,Arctium minus - Lesser Burrdock,FACU
Arctostaphylos uva-ursi,Red Bearberry,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi - Red Bearberry,FACU
Arctous ruber,Red Torpedoberry,Arctous ruber,Arctous ruber - Red Torpedoberry,FAC
Arenaria lanuginosa,Spreading Sandwort,Arenaria lanuginosa,Arenaria lanuginosa - Spreading Sandwort,FACU
Arenaria paludicola,Marsh Sandwort,Arenaria paludicola,Arenaria paludicola - Marsh Sandwort,OBL
Arenaria serpyllifolia,Thyme-Leaf Sandwort,Arenaria serpyllifolia,Arenaria serpyllifolia - Thyme-Leaf Sandwort,FACU
Arida arizonica,Common Desert Tansy-Aster,Arida arizonica,Arida arizonica - Common Desert Tansy-Aster,FACU
Arida carnosa,Shrubby Alkali Desert Tansy-Aster,Arida carnosa,Arida carnosa - Shrubby Alkali Desert Tansy-Aster,OBL
Aristida dichotoma,Church-Mouse Three-Awn,Aristida dichotoma,Aristida dichotoma - Church-Mouse Three-Awn,FACU
Armeria maritima,Sea Thrift,Armeria maritima,Armeria maritima - Sea Thrift,FACU
Arnica chamissonis,Leafy Leopardbane,Arnica chamissonis,Arnica chamissonis - Leafy Leopardbane,FACW
